"BiocVersion","SourceVersion","Coordinate_1_based","Species","TaxonomyId","SourceVersion.1","Genome","SourceUrl","DataProvider","Maintainer","Title","Description","SourceType","RDataClass","DispatchClass","RDataPath","Tags"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP gut microbiota counts","Gut microbiota count matrix for the Sailani iPOP dataset","CSV","matrix","Rds","microbiomeDataSets/sailani-ipop/gutMicrobiota_relabundance.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP gut microbiota sample data","Gut microbiota sample data for the Sailani iPOP dataset","CSV","DFrame","Rds","microbiomeDataSets/sailani-ipop/gutMicrobiota_coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP nasal microbiota counts","Nasal microbiota count matrix for the Sailani iPOP dataset","CSV","matrix","Rds","microbiomeDataSets/sailani-ipop/nasalMicrobiota_relabundance.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP nasal microbiota sample data","Nasal microbiota sample data for the Sailani iPOP dataset","CSV","DFrame","Rds","microbiomeDataSets/sailani-ipop/nasalMicrobiota_coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP RNAseq counts","RNAseq count matrix for the Sailani iPOP dataset","CSV","matrix","Rds","microbiomeDataSets/sailani-ipop/hostTranscriptome_counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP RNAseq sample data","RNAseq sample data for the Sailani iPOP dataset","CSV","DFrame","Rds","microbiomeDataSets/sailani-ipop/hostTranscriptome_coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP proteome counts","Proteome count matrix for the Sailani iPOP dataset","CSV","matrix","Rds","microbiomeDataSets/sailani-ipop/hostProteome_counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP proteome sample data","Proteome sample data for the Sailani iPOP dataset","CSV","DFrame","Rds","microbiomeDataSets/sailani-ipop/hostProteome_coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP metabolomics counts","Metabolomics count matrix for the Sailani iPOP dataset","CSV","matrix","Rds","microbiomeDataSets/sailani-ipop/hostMetabolome_counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP metabolomics sample data","Metabolomics sample data for the Sailani iPOP dataset","CSV","DFrame","Rds","microbiomeDataSets/sailani-ipop/hostMetabolome_coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP cytokines counts","Cytokines count matrix for the Sailani iPOP dataset","CSV","matrix","Rds","microbiomeDataSets/sailani-ipop/hostCytokines_counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP cytokines sample data","Cytokines sample data for the Sailani iPOP dataset","CSV","DFrame","Rds","microbiomeDataSets/sailani-ipop/hostCytokines_coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP clinical counts","Clinical count matrix for the Sailani iPOP dataset","CSV","matrix","Rds","microbiomeDataSets/sailani-ipop/hostClinical_counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-01-08 09:02:29,NA,"https://doi.org/10.1038/s41467-020-18758-1","https://figshare.com/articles/Multi_Omics_Seasonal_RData/12376508","Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sailani iPOP clinical sample data","Clinical sample data for the Sailani iPOP dataset","CSV","DFrame","Rds","microbiomeDataSets/sailani-ipop/hostClinical_coldata.rds","Microbiome"
