"BiocVersion","SourceVersion","Coordinate_1_based","Species","TaxonomyId","SourceVersion.1","Genome","SourceUrl","DataProvider","Maintainer","Title","Description","SourceType","RDataClass","DispatchClass","RDataPath","Tags"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-27 23:06:02,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Leo Lahti <leo.lahti@iki.fi>","Grieneisen Baboon counts data set","Count matrix for the Grieneisen Baboon dataset","Rds","matrix","Rds","microbiomeDataSets/3.14/grieneisen-ts/counts.rds","Microbiome"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-27 23:06:02,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Leo Lahti <leo.lahti@iki.fi>","Grieneisen Baboon row data set","Taxonomy table for the Grieneisen Baboon dataset","Rds","DFrame","Rds","microbiomeDataSets/3.14/grieneisen-ts/rowdata.rds","Microbiome"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-27 23:06:02,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Leo Lahti <leo.lahti@iki.fi>","Grieneisen Baboon phylogenetic tree data set","Phylogenetic tree for the Grieneisen Baboon dataset","TXT","character","FilePath","microbiomeDataSets/3.14/grieneisen-ts/rowtree.tre.gz","Microbiome"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-27 23:06:02,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Leo Lahti <leo.lahti@iki.fi>","Grieneisen Baboon sample data set","Sample information for the Grieneisen Baboon dataset","CSV","Dframe","Rds","microbiomeDataSets/3.14/grieneisen-ts/coldata.rds","Microbiome"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-27 23:06:02,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Leo Lahti <leo.lahti@iki.fi>","Grieneisen Baboon sequence data set","Sequence data for the Grieneisen Baboon dataset","TXT","character","FilePath","microbiomeDataSets/3.14/grieneisen-ts/refseq.fasta.gz","Microbiome"
"3.14",NA,TRUE,"Rattus norvegicus","10116",2021-08-27 23:06:02,NA,"https://ndownloader.figshare.com/files/","University of Jyvaskyla","Leo Lahti <leo.lahti@iki.fi>","Hintikka XO sample data","Sample data for the HintikkaXO dataset","XLS/XLSX","DFrame","Rds","microbiomeDataSets/3.14/hintikka-xo/coldata.rds","Microbiome"
"3.14",NA,TRUE,"Rattus norvegicus","10116",2021-08-27 23:06:02,NA,"https://ndownloader.figshare.com/files/","University of Jyvaskyla","Leo Lahti <leo.lahti@iki.fi>","Hintikka XO microbiota row data","Row data for the HintikkaXO microbiota dataset","XLS/XLSX","DFrame","Rds","microbiomeDataSets/3.14/hintikka-xo/microbiota_rowdata.rds","Microbiome"
"3.14",NA,TRUE,"Rattus norvegicus","10116",2021-08-27 23:06:02,NA,"https://ndownloader.figshare.com/files/","University of Jyvaskyla","Leo Lahti <leo.lahti@iki.fi>","Hintikka XO microbiota counts","Count matrix for the HintikkaXO microbiota dataset","XLS/XLSX","matrix","Rds","microbiomeDataSets/3.14/hintikka-xo/microbiota_counts.rds","Microbiome"
"3.14",NA,TRUE,"Rattus norvegicus","10116",2021-08-27 23:06:02,NA,"https://ndownloader.figshare.com/files/","University of Jyvaskyla","Leo Lahti <leo.lahti@iki.fi>","Hintikka XO metabolites","Count matrix for the HintikkaXO metabolites","XLS/XLSX","matrix","Rds","microbiomeDataSets/3.14/hintikka-xo/metabolites_nmr.rds","Microbiome"
"3.14",NA,TRUE,"Rattus norvegicus","10116",2021-08-27 23:06:02,NA,"https://ndownloader.figshare.com/files/","University of Jyvaskyla","Leo Lahti <leo.lahti@iki.fi>","Hintikka XO biomarkers","Data matrix for the HintikkaXO biomarkers","XLS/XLSX","matrix","Rds","microbiomeDataSets/3.14/hintikka-xo/biomarkers_signals.rds","Microbiome"
